epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,128.278,1.61634,1.39132,1.11806,0.33545,0.32701,0.26793,0.12339,1.86701,1.63018,1.21129,0.000660299,0.000660299,0.000660299
63,130.859,1.63321,1.42272,1.10525,0.30891,0.3634,0.27144,0.12326,1.86792,1.59986,1.2027,0.000643795,0.000643795,0.000643795
64,132.957,1.64358,1.38152,1.10742,0.26836,0.39168,0.27189,0.12211,1.86583,1.59711,1.1953,0.000627292,0.000627292,0.000627292
65,134.926,1.6039,1.38211,1.11441,0.28554,0.39162,0.27548,0.12495,1.85453,1.60218,1.19326,0.000610789,0.000610789,0.000610789
66,136.884,1.62511,1.33839,1.1016,0.32266,0.36631,0.27707,0.1274,1.86427,1.59468,1.20215,0.000594286,0.000594286,0.000594286
67,139.032,1.58866,1.34342,1.08492,0.33372,0.36289,0.28489,0.12897,1.89509,1.56921,1.20862,0.000577782,0.000577782,0.000577782
68,140.945,1.60393,1.38219,1.09983,0.30065,0.37504,0.2878,0.13067,1.87863,1.54687,1.20229,0.000561279,0.000561279,0.000561279
69,142.847,1.5962,1.36086,1.10688,0.30466,0.38181,0.29273,0.13319,1.88249,1.53337,1.20164,0.000544776,0.000544776,0.000544776
70,144.85,1.58445,1.34047,1.1114,0.32507,0.36078,0.28654,0.12946,1.90629,1.56347,1.21458,0.000528272,0.000528272,0.000528272
71,146.75,1.61143,1.33203,1.10101,0.29621,0.37786,0.28211,0.13003,1.87527,1.57768,1.20656,0.000511769,0.000511769,0.000511769
72,148.681,1.59803,1.30909,1.10519,0.27796,0.38872,0.28195,0.12832,1.87702,1.59562,1.20328,0.000495266,0.000495266,0.000495266
73,150.73,1.60572,1.35335,1.10005,0.32818,0.36939,0.28099,0.12541,1.88776,1.59163,1.20611,0.000478762,0.000478762,0.000478762
